	42MGBA_CENTRAL_NERVOUS_SYSTEM	8MGBA_CENTRAL_NERVOUS_SYSTEM	A1207_CENTRAL_NERVOUS_SYSTEM	A172_CENTRAL_NERVOUS_SYSTEM	AM38_CENTRAL_NERVOUS_SYSTEM	CAS1_CENTRAL_NERVOUS_SYSTEM	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DKMG_CENTRAL_NERVOUS_SYSTEM	GAMG_CENTRAL_NERVOUS_SYSTEM	GB1_CENTRAL_NERVOUS_SYSTEM	GI1_CENTRAL_NERVOUS_SYSTEM	GMS10_CENTRAL_NERVOUS_SYSTEM	GOS3_CENTRAL_NERVOUS_SYSTEM	H4_CENTRAL_NERVOUS_SYSTEM	HS683_CENTRAL_NERVOUS_SYSTEM	KALS1_CENTRAL_NERVOUS_SYSTEM	KG1C_CENTRAL_NERVOUS_SYSTEM	KNS42_CENTRAL_NERVOUS_SYSTEM	KNS60_CENTRAL_NERVOUS_SYSTEM	KNS81_CENTRAL_NERVOUS_SYSTEM	KS1_CENTRAL_NERVOUS_SYSTEM	LN18_CENTRAL_NERVOUS_SYSTEM	LN215_CENTRAL_NERVOUS_SYSTEM	LN229_CENTRAL_NERVOUS_SYSTEM	LN235_CENTRAL_NERVOUS_SYSTEM	LN319_CENTRAL_NERVOUS_SYSTEM	LN340_CENTRAL_NERVOUS_SYSTEM	LN382_CENTRAL_NERVOUS_SYSTEM	LN428_CENTRAL_NERVOUS_SYSTEM	LN443_CENTRAL_NERVOUS_SYSTEM	LN464_CENTRAL_NERVOUS_SYSTEM	LNZ308_CENTRAL_NERVOUS_SYSTEM	M059K_CENTRAL_NERVOUS_SYSTEM	NMCG1_CENTRAL_NERVOUS_SYSTEM	SF126_CENTRAL_NERVOUS_SYSTEM	SF172_CENTRAL_NERVOUS_SYSTEM	SF295_CENTRAL_NERVOUS_SYSTEM	SF767_CENTRAL_NERVOUS_SYSTEM	SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU201_CENTRAL_NERVOUS_SYSTEM	SNU466_CENTRAL_NERVOUS_SYSTEM	SNU489_CENTRAL_NERVOUS_SYSTEM	SNU626_CENTRAL_NERVOUS_SYSTEM	SNU738_CENTRAL_NERVOUS_SYSTEM	SW1088_CENTRAL_NERVOUS_SYSTEM	SW1783_CENTRAL_NERVOUS_SYSTEM	T98G_CENTRAL_NERVOUS_SYSTEM	TM31_CENTRAL_NERVOUS_SYSTEM	U118MG_CENTRAL_NERVOUS_SYSTEM	U178_CENTRAL_NERVOUS_SYSTEM	U251MG_CENTRAL_NERVOUS_SYSTEM	U343_CENTRAL_NERVOUS_SYSTEM	U87MG_CENTRAL_NERVOUS_SYSTEM	YH13_CENTRAL_NERVOUS_SYSTEM	YKG1_CENTRAL_NERVOUS_SYSTEM
P0	2.3761222561532596	1.2758498217558616	0.13011352614138363	0.0	0.0	0.6418171695686404	1.9066079684820805	0.0	0.5285718743008959	0.5161932511967481	0.16664782234439604	1.3771692967423703	1.5631239964392818	0.0	0.5370478841015832	0.7032295401773992	0.895596883584181	0.0	0.0	0.5372572930087324	0.1310709357726603	0.0	1.491172768103021	0.7342188572183259	0.37210380403727344	0.6085061974111423	0.10986385775865737	0.4031328737550402	1.2379042432654062	0.5941766707898685	1.585537854617243	0.0	0.0	1.2643929425336349	0.4408162340832775	0.9990601548809114	0.0	0.6905240039713123	0.0	0.7304460194023299	0.22650009539600727	0.0	0.16423810858958973	0.47580925940887153	0.9962564242195386	1.228078056428913	0.8779970078259476	1.092804589280188	0.0	0.7921090712088522	0.7424705290903306	0.0	0.0	0.0	1.024148805140761	0.3671533856618121
P1	0.0	0.0748062211317578	0.37189444730116983	0.17373183885169405	0.10119612416644734	0.0	0.0	0.18091148734830584	0.0	0.44761034790504795	0.0	0.021021791229539663	0.03007937922100782	0.0	0.2132793267381011	0.0	0.016230368734290374	0.052464975405516305	0.0	0.2510055332005824	0.0	0.0	0.18835922668497873	0.0686950911152412	0.0	0.0	0.13462624503341628	0.0	0.0	0.27903701937205977	0.0	0.0	0.0	0.0	0.09274515035787764	0.024912840557403587	3.9587656003380745	0.08035235338310913	4.14913215493713	0.0	0.0	0.0	0.0	0.0	1.7923912794861425	0.03696507662606622	0.03905740755884899	0.0771564910035822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P2	0.0	0.5988903992364261	0.0	0.0	0.0	0.17459613543762065	0.008508343833313056	0.05152708445941259	0.0	0.0	0.0539141669339621	0.6643509447158727	0.1509884224857302	0.3786493346698774	0.0	0.0	0.7243643154318867	0.0	4.15097439981693	0.06319198091082531	0.24802432786844056	0.0	0.16550633200633771	0.5586694700859961	0.07475001036603715	0.5181947723278958	5.049011237699922	0.09709148362598827	0.08895600105990807	0.6800356644337058	0.22114556635122368	0.0	0.0	0.0	0.18936131234274778	0.0	0.0	0.0	1.0732385444222374	0.0	0.3137206707451911	0.0	0.0	1.7038963897325416	0.197340583631168	0.0	0.10157476411513258	0.0	0.0	0.0	0.0	0.9807340616298056	0.0	0.0	0.027868167626224384	0.7277017906515929
P3	0.05947191535110712	0.0	0.0	0.0	0.0	0.37999163419307874	0.2168717519259164	0.4799527011928403	1.8218859444219566	0.0	0.0	0.0	0.0	0.0	0.0905955879878753	0.0	0.1917774284225804	0.9638946540281714	0.0	0.23824305796318612	0.047898791812244525	0.17792432781337042	0.0	0.0	0.4386013820723081	0.2660664167290622	0.0	0.0004461973198317007	0.0	0.4609421718620772	0.0	0.0	0.0	0.08633749033784105	0.004258335117056112	0.0	0.0	0.0	0.0	0.4428715872540925	0.914985825096192	5.155770218931801	2.521026243784376	0.0	1.0699236331836137	0.0	0.13828591340595098	0.0	0.015932777533859598	0.10194641827202057	0.07335088319327661	0.5517465686646422	1.029549532527128	0.0	0.44532650324661943	0.0
P4	0.1160594824659506	0.0	1.1993063564548871	0.5549107212734432	5.356343343771592	0.0	0.0	0.0	0.11520076906633174	0.5965459335574195	0.46511946097477574	0.37740786621839484	0.0	0.0	0.16779596934860078	0.10588783632184283	0.0	0.49357051492276083	0.0	0.11609410396863522	0.0	2.2182674588851623	0.5282832082504627	0.0	0.0	0.0	0.03214112391926483	0.08073081840109089	0.0	0.0	1.0811728435386798	0.0	0.0	0.3073948164107413	0.03522943535295652	0.551693721603224	0.279054796116513	0.6175207727803549	0.0	0.1620795044951586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0064000811410283	1.3332777329912564	0.0	0.0020141731280475263	3.438591379269236	0.2340465052216771	0.0
P5	0.0	0.8371483464188912	0.04432495667404389	0.019763811852837047	0.0	0.0	0.0	0.19855991544233864	0.0	0.17436349450726338	0.0	0.1789309160057292	0.0	0.0	0.24274485955845723	0.08381747535128778	0.0	0.0	0.0	0.0	0.0	0.9900002147596559	0.00017256683959262584	0.10818422190589683	0.8392646439216852	0.3592842253465456	0.0	0.20187582311864447	0.05837128201038902	0.0	0.0	5.366616375430476	0.0	0.02932522680682418	0.14096041162046133	0.0	0.16700747217457987	0.36669943699086066	0.0	0.0	0.0	0.6146129660463812	0.0	0.0	0.0	0.0	0.10534185405375475	0.0	0.0	0.0	0.04902924262932655	0.0	0.0	0.3571754995329011	0.0	0.17523432842375747
P6	0.0	0.0	0.0	0.0	0.0	0.0	0.8318670053456543	0.0	0.0	0.0	0.5886613926245188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5631529691154668	0.0	0.0	0.058982030256642864	0.015612893295624684	0.0	0.23638036557276906	0.09995051032778841	0.0	0.18245302028061708	0.3465261623132962	0.0	0.0	0.0	5.297387248633081	0.4191192297272396	0.0	0.03691760389727339	0.1764997499324841	0.06548302028834517	0.0	0.0	0.0	0.030700337253114288	0.0	0.0	0.0	0.0	0.0	0.16040804359134145	0.0	0.24987658884828742	0.12271197343043846	0.0	0.0	0.0	0.0	0.0
P7	0.0	0.0	0.6300334437039751	3.4809386780391174	0.0	0.5487271872692852	0.0	1.0642797722215467	0.7713187553492354	0.645882716179302	0.0	0.0	0.0	4.8032720443189625	1.4413188471507348	0.29082679803572964	0.39986877444088326	2.3485990154177094	0.3636060490809572	0.6504509081320251	1.5364917566549483	0.9499687786644337	0.0	0.266694097237052	0.7978323161571943	0.37650607594894697	0.0	1.2941762237844046	0.4504249381533064	0.7840549465303959	0.0	0.0	0.0	0.0	0.5564973747313655	0.5573421196063253	0.0	0.6376132101103924	0.0	0.2584785383252389	0.7115420185211132	0.0	0.04220346949007742	1.35907410695062	0.0	0.8539395117915877	0.12931230493888643	1.2970889778150843	0.0	0.0	1.0276488819345837	1.1600220185854413	2.9273271610342495	0.9154798280868407	0.2828137188349975	0.761067538627575
P8	0.0	0.0	0.38557239696558177	0.0	0.3180848023876958	0.01935121757973741	0.0	1.4669536304689514	0.19194474517329765	0.14200055425784205	4.362710875373327	0.0	0.6656498154633967	0.0	0.0	0.23605823422673122	0.1737278214555102	0.0	0.0	0.3014894147496519	0.6755591064383589	0.0	0.5209217386859909	0.0	0.11768714592557075	0.0	0.23508413846244355	0.0	0.0	0.0	0.0	0.0	0.0	0.1982657863299983	1.0789590967937002	0.09101661403763929	0.4112793039390066	0.0	0.0	0.09744074502142884	0.25919474900321854	0.0	0.0	0.28591509318800645	0.0	0.0685776611494971	0.13515663169828773	0.0	6.095566881393411	0.0	0.0	0.6962224040440536	0.0	0.0	0.0	0.0
