	42MGBA_CENTRAL_NERVOUS_SYSTEM	8MGBA_CENTRAL_NERVOUS_SYSTEM	A1207_CENTRAL_NERVOUS_SYSTEM	A172_CENTRAL_NERVOUS_SYSTEM	AM38_CENTRAL_NERVOUS_SYSTEM	CAS1_CENTRAL_NERVOUS_SYSTEM	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DKMG_CENTRAL_NERVOUS_SYSTEM	GAMG_CENTRAL_NERVOUS_SYSTEM	GB1_CENTRAL_NERVOUS_SYSTEM	GI1_CENTRAL_NERVOUS_SYSTEM	GMS10_CENTRAL_NERVOUS_SYSTEM	GOS3_CENTRAL_NERVOUS_SYSTEM	H4_CENTRAL_NERVOUS_SYSTEM	HS683_CENTRAL_NERVOUS_SYSTEM	KALS1_CENTRAL_NERVOUS_SYSTEM	KG1C_CENTRAL_NERVOUS_SYSTEM	KNS42_CENTRAL_NERVOUS_SYSTEM	KNS60_CENTRAL_NERVOUS_SYSTEM	KNS81_CENTRAL_NERVOUS_SYSTEM	KS1_CENTRAL_NERVOUS_SYSTEM	LN18_CENTRAL_NERVOUS_SYSTEM	LN215_CENTRAL_NERVOUS_SYSTEM	LN229_CENTRAL_NERVOUS_SYSTEM	LN235_CENTRAL_NERVOUS_SYSTEM	LN319_CENTRAL_NERVOUS_SYSTEM	LN340_CENTRAL_NERVOUS_SYSTEM	LN382_CENTRAL_NERVOUS_SYSTEM	LN428_CENTRAL_NERVOUS_SYSTEM	LN443_CENTRAL_NERVOUS_SYSTEM	LN464_CENTRAL_NERVOUS_SYSTEM	LNZ308_CENTRAL_NERVOUS_SYSTEM	M059K_CENTRAL_NERVOUS_SYSTEM	NMCG1_CENTRAL_NERVOUS_SYSTEM	SF126_CENTRAL_NERVOUS_SYSTEM	SF172_CENTRAL_NERVOUS_SYSTEM	SF295_CENTRAL_NERVOUS_SYSTEM	SF767_CENTRAL_NERVOUS_SYSTEM	SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU201_CENTRAL_NERVOUS_SYSTEM	SNU466_CENTRAL_NERVOUS_SYSTEM	SNU489_CENTRAL_NERVOUS_SYSTEM	SNU626_CENTRAL_NERVOUS_SYSTEM	SNU738_CENTRAL_NERVOUS_SYSTEM	SW1088_CENTRAL_NERVOUS_SYSTEM	SW1783_CENTRAL_NERVOUS_SYSTEM	T98G_CENTRAL_NERVOUS_SYSTEM	TM31_CENTRAL_NERVOUS_SYSTEM	U118MG_CENTRAL_NERVOUS_SYSTEM	U178_CENTRAL_NERVOUS_SYSTEM	U251MG_CENTRAL_NERVOUS_SYSTEM	U343_CENTRAL_NERVOUS_SYSTEM	U87MG_CENTRAL_NERVOUS_SYSTEM	YH13_CENTRAL_NERVOUS_SYSTEM	YKG1_CENTRAL_NERVOUS_SYSTEM
P0	1.2413093285530377	0.41915089232573516	0.9131897448344156	0.7421240619413865	2.8051911567884567	0.19897342398926646	0.8497123428104232	0.0	0.2845494295814253	0.7592739515377689	0.6676508103125808	0.8300310644951907	0.5064986409659453	0.0	0.5267823214206206	0.4299244629328809	0.08085797669388228	0.25733875722444305	0.0	0.28681347908162047	0.04969213306429005	1.7479362102610205	0.94732356032313	0.2267584298317186	0.46658805990328545	0.24124232250939753	0.0	0.3602100703148754	0.4563317444804456	0.07958591402197528	1.410896977879579	1.2576848072302798	0.6951562816324182	0.900461696392249	0.28077146204543474	0.9879643175667739	0.3799181014523742	0.8863520551071356	0.0	0.44999476637587915	0.0	0.0	0.0	0.0	0.42528481219440684	0.5152899934961246	0.36461740131430886	0.4565651109270632	0.13156601061490358	1.6674978814141386	1.4401536898289389	0.0	0.10954518684843328	2.2032701847054796	0.5228215952365639	0.06634662559847465
P1	0.0	0.28212402822030846	0.46350350264625506	0.33908227144166175	0.2738888093115578	0.0	0.0	0.33856974427144587	0.0	0.527203642836489	0.0	0.02855371620141179	0.0	0.1268793918083871	0.3183795371767134	0.0	0.04425460783681785	0.15831943238613053	0.0	0.25811048310170004	0.0	0.20009009618868046	0.11302552728863283	0.10007096412741143	0.18338333105695823	0.0	0.33984098241343913	0.05177388062334117	0.0	0.3175321562217023	0.0	1.4477237595774182	0.376164590963702	0.0	0.155941329550189	0.020379202119958986	4.0591552383061	0.18194759843887492	4.499711293741882	0.0	0.0	0.2158959023036126	0.0	0.0	1.8531623910579116	0.018171066370955617	0.03069280216953314	0.11030143761458304	0.08583694039368356	0.0	0.0	0.0	0.0	0.04501523090771186	0.0	0.018804377965198647
P2	0.41670095497397897	0.8981697847020621	0.0	0.0	0.0	0.3038986028648367	0.834897019962472	0.5583821239761819	0.0	0.10364064089356917	1.8612489210471972	0.8021905863361187	0.9233590341354232	0.2665580690590386	0.009913525968415778	0.24124450546674256	0.858889761156456	0.0	2.5080322901644663	0.314631600437692	0.5185086205842588	0.0	0.8280233913685752	0.5980649206110342	0.2733765702653389	0.5742691563381205	2.725693700996244	0.24076219132065635	0.6181389014538405	0.6147713325370298	0.40621538076599795	0.08912860912499822	1.591146633686766	0.4773766958867049	0.604145878591588	0.10509849540838254	0.0	0.17936409937403247	0.11147593050503957	0.16794886340015602	0.3599162810678388	0.0	0.0	1.4787795711295522	0.3480167525006488	0.3234494930389711	0.381782055581614	0.3780502859785178	2.168610697789924	0.04538981776722393	0.0	0.8398264926968577	0.0	0.0	0.2512286197168064	0.5810900760824622
P3	0.18446594147887815	0.2585083381283138	0.199738462265152	1.0781774075546104	0.0	0.6455228104743402	0.34210943120789683	0.9301782568231528	1.7988236172923997	0.21389019730944675	0.0	0.02859177145731358	0.12800462456614525	2.271866161415563	0.8141033689792069	0.23035791340087441	0.5242622857500611	1.761414441383094	0.0	0.5374024614493771	0.7933390561390579	0.38618841364096956	0.0	0.19858301915777105	0.7669071971784568	0.5483881248090925	0.0	0.6627956794360472	0.3864361028470353	0.8151637832979637	0.0	0.22946181935343976	0.0	0.05432416590068328	0.35605289282236235	0.24578025485667065	0.0	0.22902751585461403	0.0	0.49540190858604555	1.04934735867467	3.303145432310476	1.7664370342697464	0.6455174390419524	0.5625095095486432	0.597709859642024	0.2781257710045286	0.6922506966966192	0.029439840060133365	0.050410139743593464	0.4920959760393514	0.965135917630358	2.091830014773155	0.1352673751685979	0.620410630155014	0.4886455295361264
