	42MGBA_CENTRAL_NERVOUS_SYSTEM	8MGBA_CENTRAL_NERVOUS_SYSTEM	A1207_CENTRAL_NERVOUS_SYSTEM	A172_CENTRAL_NERVOUS_SYSTEM	AM38_CENTRAL_NERVOUS_SYSTEM	CAS1_CENTRAL_NERVOUS_SYSTEM	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DKMG_CENTRAL_NERVOUS_SYSTEM	GAMG_CENTRAL_NERVOUS_SYSTEM	GB1_CENTRAL_NERVOUS_SYSTEM	GI1_CENTRAL_NERVOUS_SYSTEM	GMS10_CENTRAL_NERVOUS_SYSTEM	GOS3_CENTRAL_NERVOUS_SYSTEM	H4_CENTRAL_NERVOUS_SYSTEM	HS683_CENTRAL_NERVOUS_SYSTEM	KALS1_CENTRAL_NERVOUS_SYSTEM	KG1C_CENTRAL_NERVOUS_SYSTEM	KNS42_CENTRAL_NERVOUS_SYSTEM	KNS60_CENTRAL_NERVOUS_SYSTEM	KNS81_CENTRAL_NERVOUS_SYSTEM	KS1_CENTRAL_NERVOUS_SYSTEM	LN18_CENTRAL_NERVOUS_SYSTEM	LN215_CENTRAL_NERVOUS_SYSTEM	LN229_CENTRAL_NERVOUS_SYSTEM	LN235_CENTRAL_NERVOUS_SYSTEM	LN319_CENTRAL_NERVOUS_SYSTEM	LN340_CENTRAL_NERVOUS_SYSTEM	LN382_CENTRAL_NERVOUS_SYSTEM	LN428_CENTRAL_NERVOUS_SYSTEM	LN443_CENTRAL_NERVOUS_SYSTEM	LN464_CENTRAL_NERVOUS_SYSTEM	LNZ308_CENTRAL_NERVOUS_SYSTEM	M059K_CENTRAL_NERVOUS_SYSTEM	NMCG1_CENTRAL_NERVOUS_SYSTEM	SF126_CENTRAL_NERVOUS_SYSTEM	SF172_CENTRAL_NERVOUS_SYSTEM	SF295_CENTRAL_NERVOUS_SYSTEM	SF767_CENTRAL_NERVOUS_SYSTEM	SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU201_CENTRAL_NERVOUS_SYSTEM	SNU466_CENTRAL_NERVOUS_SYSTEM	SNU489_CENTRAL_NERVOUS_SYSTEM	SNU626_CENTRAL_NERVOUS_SYSTEM	SNU738_CENTRAL_NERVOUS_SYSTEM	SW1088_CENTRAL_NERVOUS_SYSTEM	SW1783_CENTRAL_NERVOUS_SYSTEM	T98G_CENTRAL_NERVOUS_SYSTEM	TM31_CENTRAL_NERVOUS_SYSTEM	U118MG_CENTRAL_NERVOUS_SYSTEM	U178_CENTRAL_NERVOUS_SYSTEM	U251MG_CENTRAL_NERVOUS_SYSTEM	U343_CENTRAL_NERVOUS_SYSTEM	U87MG_CENTRAL_NERVOUS_SYSTEM	YH13_CENTRAL_NERVOUS_SYSTEM	YKG1_CENTRAL_NERVOUS_SYSTEM
P0	2.364482181501003	1.0548814757930702	0.2366947493217354	0.0	0.0	0.6509884094209382	2.0448684245280044	0.07413309803995925	0.6414024218327803	0.4588775342385045	0.5253710130224791	1.051326624170548	1.5224583541575285	0.0	0.4833199213575413	0.7716894112854168	0.8330649543894195	0.0	0.0	0.5054029367686084	0.22706021220109432	0.0	1.3303357980341104	0.6326392837424754	0.42444732674603053	0.6007767751695743	0.0	0.4185424845832155	1.3272590020498587	0.38774306432120687	1.587865135474902	0.0	0.0	1.230562820405323	0.5633985578303623	1.0477005974751104	0.0	0.7590480705170674	0.0	0.7747086393951312	0.25765237868063956	0.0	0.1282630086527972	0.49104543287770913	0.1991855790000791	1.2593151814782004	0.8484497820106217	1.1955419637265474	0.279182105687288	0.8475150472311349	0.8771115955612653	0.0	0.0	0.0	1.0236980299144245	0.32182501476927683
P1	0.0	0.03411008961996349	0.21450422909900432	0.0	0.0	0.0	0.0	0.14233045713310935	0.0	0.0	0.0	0.0	0.010413535531925063	0.26395698272609464	0.11681283655353773	0.0	0.19205493729305273	0.12289069664399636	0.0	0.21817084109230436	0.0	0.0	0.0	0.0	0.0	0.0	0.6435617790961392	0.0	0.02017488308484123	0.0	0.0	0.0	0.0	0.0	0.23498283794580876	0.0	1.0221256217853232	0.2293371229490983	6.9084903042241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010872250293202856	0.1183381428241766	0.0	0.0	0.0	0.0	0.0	0.0	0.06013367699806198	0.0
P2	0.0	0.3683640176603538	0.0	0.06198745155303	0.0	0.10229572154153192	0.0	0.4277337209052045	0.0	0.011543885606768877	0.8769649431636298	0.3822679284938975	0.2546651799943106	0.3542659551321169	0.0	0.013580845751101309	0.4284397595776959	0.0	2.3836743165440937	0.1199788867817707	0.38466664062348715	0.015316959596802186	0.2137358483743245	0.35558200615608665	0.08423696562963677	0.2915714038249477	2.604435676693352	0.0980553436076063	0.03081079434560357	0.4349810989984664	0.04875391774690201	0.0	0.0	0.0	0.3621135308547318	0.0	0.0	0.0	0.0	0.0011894912579619096	0.27019948026104207	0.0	0.0	1.157970790276955	0.17547832301649396	0.0	0.09653812329277468	0.0	1.383198958168384	0.0	0.0	0.8145557568140508	0.0	0.0	0.0	0.43865832134069344
P3	0.0	0.002243944029330631	0.25499077827880884	1.3815280359682187	0.0	0.6832644924189751	0.024869361615168492	1.1934595064754463	2.2086688580697817	0.17338537690412403	0.0	0.0	0.0	3.0230175597033515	0.878558038750732	0.14216286979409534	0.4004510329166181	2.3458395828135723	0.0	0.5771123184298114	0.9856622903250168	0.4701759512916721	0.0	0.04865493268391124	0.7776629575135756	0.48208845759845004	0.0	0.7580680077841513	0.18040814488742965	0.9257389285297887	0.0	0.0	0.0	0.0	0.3404071966709985	0.08635601768133179	0.0	0.11061416478015362	0.0	0.48777510504010896	1.306777971534432	4.091574690453577	2.3501520278779595	0.7225493652885068	0.4448606679869984	0.43122774694574617	0.15669536412480678	0.6206112065602031	0.09818009542311387	0.0	0.5379576101602426	1.3283349533852113	2.8054761227744214	0.23669742093631096	0.5773384044408111	0.4793061678733907
P4	0.0	0.0	0.8823677061312377	0.9715521769846093	3.314046888560609	0.0	0.0	0.0	0.044452596510508494	0.46686782271917676	0.3323863558117278	0.20631954165778738	0.0	0.08084772446459684	0.28516080285283446	0.12023141045021703	0.0	0.49933369177269304	0.09472960430269431	0.1393315774571867	0.04851588402498293	1.789221359639184	0.2537496435887657	0.008820092522008605	0.061144358974556244	0.0	0.0	0.17819745076389515	0.0	0.0	0.6832956015470628	0.0	0.0	0.11359699112580653	0.1110900818021471	0.45974098347433856	0.0	0.5606620143770149	0.0	0.14616359815064967	0.0	0.0	0.0	0.0	0.0	0.0	0.009509725814671	0.0	0.0	1.255736180752046	0.9963537429714918	0.0	0.2936003411271276	2.732803469437864	0.12269124790914612	0.0
P5	0.0	0.5508391621355139	0.0	0.0	0.0	0.0	0.0	0.10334848794009202	0.0	0.0492792186853287	0.0	0.06545242320488298	0.0	0.0	0.11317817407362508	0.04858594489156177	0.0	0.0	0.0	0.0	0.0	0.6496386349917496	0.0	0.0629270599375288	0.6361883401507549	0.2739206155554537	0.015450341575620202	0.10951171414328548	0.06050047250503334	0.0	0.0	3.720910646138987	0.0	0.03251728786137983	0.038932751382666615	0.0	0.00024216521524507705	0.209901310962976	0.0	0.0	0.0	0.8041721936180425	0.0	0.0	0.0	0.0	0.0580459188432899	0.0	0.0	0.0	0.05179489182086457	0.007391573401616433	0.0	0.09475056281773052	0.0	0.13679538115619957
P6	0.0	0.0	0.022834249014884126	0.0	0.27322124925398145	0.0	0.7388258550800719	0.06086703912682422	0.0	0.0	1.7564113617821195	0.0	0.0	0.0	0.0	0.00010535222927279388	0.0	0.0	0.2381568679050933	0.0	0.03943649584328919	0.017768986755785355	0.10849040926114314	0.0	0.22417441355368717	0.04386932982790606	0.0	0.1342191105890578	0.33431688984026864	0.0	0.0	0.0	5.9666032512520415	0.505325281327371	0.0	0.04996164791455343	0.0	0.021662074137638217	0.0	0.0	0.0	0.005059175427743778	0.0	0.0	0.0	0.0	0.0	0.09086426055461773	0.9277620898276346	0.30923639444794215	0.003656327980347335	0.0	0.0	0.0	0.0	0.0
P7	0.0	0.23197648482633057	0.5741785973996059	0.5879084067435413	0.4245927245941126	0.032410172109036614	0.0	0.41293815616859914	0.0	1.1428398612773272	0.22821730801382425	0.5276680342754916	0.1801392675794165	0.0	0.4266997773961262	0.0	0.0	0.10012591155076823	0.0	0.31666212308445596	0.05670595308323477	0.0	0.678098796231696	0.2512874180223411	0.01298416489045277	0.0	0.0	0.05858679282254825	0.0	0.67430400563214	0.0	0.0	0.0	0.262601894572982	0.07833596453102841	0.1635113037267022	6.214749650716455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.339788204536823	0.2224506531229766	0.14190559561807403	0.195764986581888	0.5074594186118276	0.0	0.0	0.0	0.0	0.0	0.0	0.0
