	42MGBA_CENTRAL_NERVOUS_SYSTEM	8MGBA_CENTRAL_NERVOUS_SYSTEM	A1207_CENTRAL_NERVOUS_SYSTEM	A172_CENTRAL_NERVOUS_SYSTEM	AM38_CENTRAL_NERVOUS_SYSTEM	CAS1_CENTRAL_NERVOUS_SYSTEM	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DKMG_CENTRAL_NERVOUS_SYSTEM	GAMG_CENTRAL_NERVOUS_SYSTEM	GB1_CENTRAL_NERVOUS_SYSTEM	GI1_CENTRAL_NERVOUS_SYSTEM	GMS10_CENTRAL_NERVOUS_SYSTEM	GOS3_CENTRAL_NERVOUS_SYSTEM	H4_CENTRAL_NERVOUS_SYSTEM	HS683_CENTRAL_NERVOUS_SYSTEM	KALS1_CENTRAL_NERVOUS_SYSTEM	KG1C_CENTRAL_NERVOUS_SYSTEM	KNS42_CENTRAL_NERVOUS_SYSTEM	KNS60_CENTRAL_NERVOUS_SYSTEM	KNS81_CENTRAL_NERVOUS_SYSTEM	KS1_CENTRAL_NERVOUS_SYSTEM	LN18_CENTRAL_NERVOUS_SYSTEM	LN215_CENTRAL_NERVOUS_SYSTEM	LN229_CENTRAL_NERVOUS_SYSTEM	LN235_CENTRAL_NERVOUS_SYSTEM	LN319_CENTRAL_NERVOUS_SYSTEM	LN340_CENTRAL_NERVOUS_SYSTEM	LN382_CENTRAL_NERVOUS_SYSTEM	LN428_CENTRAL_NERVOUS_SYSTEM	LN443_CENTRAL_NERVOUS_SYSTEM	LN464_CENTRAL_NERVOUS_SYSTEM	LNZ308_CENTRAL_NERVOUS_SYSTEM	M059K_CENTRAL_NERVOUS_SYSTEM	NMCG1_CENTRAL_NERVOUS_SYSTEM	SF126_CENTRAL_NERVOUS_SYSTEM	SF172_CENTRAL_NERVOUS_SYSTEM	SF295_CENTRAL_NERVOUS_SYSTEM	SF767_CENTRAL_NERVOUS_SYSTEM	SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU201_CENTRAL_NERVOUS_SYSTEM	SNU466_CENTRAL_NERVOUS_SYSTEM	SNU489_CENTRAL_NERVOUS_SYSTEM	SNU626_CENTRAL_NERVOUS_SYSTEM	SNU738_CENTRAL_NERVOUS_SYSTEM	SW1088_CENTRAL_NERVOUS_SYSTEM	SW1783_CENTRAL_NERVOUS_SYSTEM	T98G_CENTRAL_NERVOUS_SYSTEM	TM31_CENTRAL_NERVOUS_SYSTEM	U118MG_CENTRAL_NERVOUS_SYSTEM	U178_CENTRAL_NERVOUS_SYSTEM	U251MG_CENTRAL_NERVOUS_SYSTEM	U343_CENTRAL_NERVOUS_SYSTEM	U87MG_CENTRAL_NERVOUS_SYSTEM	YH13_CENTRAL_NERVOUS_SYSTEM	YKG1_CENTRAL_NERVOUS_SYSTEM
P0	2.2168046189787014	1.0591853455401654	0.24715735026224694	0.0	0.0	0.6531581909778031	2.0808630467749216	0.005937564629135144	0.6398689259532153	0.4437468700189662	0.24698955741832307	0.8798191518520649	1.4508435556979706	0.0	0.47787211144896774	0.7425904228363505	0.8150873895956575	0.0	0.0	0.5007944923039406	0.2444942956392831	0.0	1.1663279297287181	0.6327329569635597	0.36846215401692467	0.6314417000801807	0.05902704513611881	0.45552341414707886	1.3419383587198703	0.40827269123001153	1.562542934368563	0.0	0.0	1.1266364647816853	0.5098246543287358	1.009119336832851	0.0	0.7589899340956815	0.0	0.7557333087349876	0.27359758103218074	0.0	0.12386532350575301	0.5520557840536933	0.0	1.2416238457287438	0.8235954192412372	1.2245114235987977	0.0	0.9240832644741322	0.929884167386533	0.0	0.0	0.0	1.0210829256884293	0.33592941285018724
P1	0.0	0.3375777171588798	0.4188291699995981	0.27175323115657074	0.0	0.0	0.0	0.3568083753495738	0.0	0.3055021504804918	0.0	0.0	0.060170750580571086	0.08035199255241868	0.2562503356262734	0.0	0.06025211944529871	0.13067296489874095	0.0	0.2699509535706359	0.0	0.0	0.0	0.0662493952339927	0.0747490721963668	0.011280443395327903	0.3554202365631345	0.07474891269305174	0.0	0.22293896184828627	0.0	1.1325461798820535	0.10286641125366443	0.0	0.23536867408229828	0.0	3.999339068639782	0.221869335942822	5.508054051803341	0.0	0.0	0.0	0.0	0.0	0.0	0.0836772589368523	0.07257884702193741	0.20045332843296762	0.0	0.0	0.0	0.0	0.0	0.0	0.001556797005062992	0.008358655226618224
P2	0.0	0.4668952200189032	0.0	0.06548404857968804	0.0	0.11359281175923762	0.011742061035487764	0.22128464485840194	0.0	0.0	0.22509964866039864	0.37147535021888967	0.18486672283871616	0.4851743545197054	0.0	0.0	0.4459028300919821	0.0	2.511046149944771	0.08570547121560058	0.29462089192633223	0.13104952228183098	0.1028425717890628	0.3806194704500005	0.14455025530319404	0.37669223240540156	2.730926484115258	0.14223114988674002	0.08493850412727669	0.4247623702755836	0.09406523363607318	0.38111384705287177	0.0	0.0	0.2357713325975644	0.0	0.0	0.04622620993052641	0.3299423191971896	0.0	0.2424689411779341	0.0	0.0	1.1593740419972818	0.0	0.0	0.09030468228104802	0.0	0.29551686252040693	0.0	0.0	0.7043365893507056	0.0	0.0	0.018804076089523437	0.5103311633962984
P3	0.0	0.05549907844458377	0.21822643263853683	1.2753636188609438	0.0	0.5942595515094604	0.009082320057584019	1.173359311578577	1.9811476910711618	0.11152345001295917	0.0	0.0	0.0	2.6706434789916487	0.7898391272767812	0.13581129574509224	0.3405245495390376	2.142079642405635	0.0	0.5096925219622808	0.8910693247699241	0.47067736640855096	0.0	0.022118626173970198	0.8051858359722782	0.4920497867072424	0.0	0.6776034429501628	0.16173845895075717	0.7915914316295569	0.0	0.1769969118315092	0.0	0.0	0.3647848253750298	0.054981257574901264	0.0	0.10431383147477642	0.0	0.4446439032678025	1.166488419487021	3.9130911859064224	2.0874536823851604	0.5982293446158952	0.0	0.3709526695579202	0.15084614034872576	0.5260346265318496	0.26732505344094565	0.0	0.42666310668882595	1.2133054681508848	2.522813012760638	0.19849362787079594	0.5072915551740043	0.43587593174769185
P4	0.0	0.055546651403543125	0.7098624361397498	0.8400700524197676	2.5575437894010626	0.0	0.0	0.0	0.0	0.45337272863279643	0.13123566850962815	0.17678745975143287	0.0	0.04192302924716079	0.28769290558351457	0.10571245294026622	0.0	0.32731991911467007	0.10234374213887415	0.08810333092143031	0.0	1.7524632128325441	0.2066935159936908	0.02553826679690901	0.2681588952485213	0.04761638271195724	0.0	0.17446559096775796	0.0	0.0	0.4776360848152653	1.4493866838002547	0.0	0.12029813489252636	0.07418860500234346	0.36471784330706	0.19846298338783167	0.5330772315930344	0.0	0.10220561452223195	0.0	0.0	0.0	0.0	0.0	0.0	0.023787723824606886	0.0	0.0	0.9134911326189532	0.8189291783710975	0.0	0.19796175084603293	2.2603595240468533	0.0834597972211598	0.0
P5	0.0	0.0	0.22136130429898138	0.0	0.5680436460172855	0.0	0.4080949436463177	0.6521530175403575	0.0	0.06078066997221842	3.384312321038251	0.0	0.11662353673487413	0.0	0.0	0.07674541142403209	0.0	0.0	0.04893470829916125	0.07457649424045835	0.2606926933123475	0.0	0.4557808891476997	0.0	0.2292889730385149	0.0	0.0	0.020541401790251962	0.1786416627899555	0.0	0.0	0.0	4.5709672088973985	0.5123631489027191	0.31605677131918775	0.06767355221729954	0.48003266196249267	0.0	0.0	0.0	0.0	0.07934505842632128	0.0	0.0	0.0	0.0	0.0	0.0	3.44763766377902	0.15669798106536023	0.0	0.2301659767328766	0.0	0.0	0.0	0.0
P6	0.14826467894654774	0.243671530267462	0.05288998977893254	0.0	0.2830879210969513	0.0	0.0	0.0	0.0	0.7349633179394713	0.0	0.9841171043299857	0.14934242551656335	0.0	0.2645152986098871	0.0	0.11347530518915319	0.05750789015824522	0.005396894187211033	0.23000715647690198	0.0	0.10293450654800224	0.7239717261941025	0.20937943809006548	0.22697252890773598	0.0	0.0	0.0	0.0	0.4398992354109361	0.0	0.27287687674023575	0.0	0.2828096422287109	0.0	0.18310149113037802	1.5138100690179732	0.0	0.0	0.0	0.0	0.7193606236195951	0.0	0.0	5.952429730373543	0.09721963270282995	0.1160180098553756	0.053703040024456784	0.0	0.08358940477609202	0.0	0.0	0.0	0.0	0.0	0.030523089314666765
