	42MGBA_CENTRAL_NERVOUS_SYSTEM	8MGBA_CENTRAL_NERVOUS_SYSTEM	A1207_CENTRAL_NERVOUS_SYSTEM	A172_CENTRAL_NERVOUS_SYSTEM	AM38_CENTRAL_NERVOUS_SYSTEM	CAS1_CENTRAL_NERVOUS_SYSTEM	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DKMG_CENTRAL_NERVOUS_SYSTEM	GAMG_CENTRAL_NERVOUS_SYSTEM	GB1_CENTRAL_NERVOUS_SYSTEM	GI1_CENTRAL_NERVOUS_SYSTEM	GMS10_CENTRAL_NERVOUS_SYSTEM	GOS3_CENTRAL_NERVOUS_SYSTEM	H4_CENTRAL_NERVOUS_SYSTEM	HS683_CENTRAL_NERVOUS_SYSTEM	KALS1_CENTRAL_NERVOUS_SYSTEM	KG1C_CENTRAL_NERVOUS_SYSTEM	KNS42_CENTRAL_NERVOUS_SYSTEM	KNS60_CENTRAL_NERVOUS_SYSTEM	KNS81_CENTRAL_NERVOUS_SYSTEM	KS1_CENTRAL_NERVOUS_SYSTEM	LN18_CENTRAL_NERVOUS_SYSTEM	LN215_CENTRAL_NERVOUS_SYSTEM	LN229_CENTRAL_NERVOUS_SYSTEM	LN235_CENTRAL_NERVOUS_SYSTEM	LN319_CENTRAL_NERVOUS_SYSTEM	LN340_CENTRAL_NERVOUS_SYSTEM	LN382_CENTRAL_NERVOUS_SYSTEM	LN428_CENTRAL_NERVOUS_SYSTEM	LN443_CENTRAL_NERVOUS_SYSTEM	LN464_CENTRAL_NERVOUS_SYSTEM	LNZ308_CENTRAL_NERVOUS_SYSTEM	M059K_CENTRAL_NERVOUS_SYSTEM	NMCG1_CENTRAL_NERVOUS_SYSTEM	SF126_CENTRAL_NERVOUS_SYSTEM	SF172_CENTRAL_NERVOUS_SYSTEM	SF295_CENTRAL_NERVOUS_SYSTEM	SF767_CENTRAL_NERVOUS_SYSTEM	SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU201_CENTRAL_NERVOUS_SYSTEM	SNU466_CENTRAL_NERVOUS_SYSTEM	SNU489_CENTRAL_NERVOUS_SYSTEM	SNU626_CENTRAL_NERVOUS_SYSTEM	SNU738_CENTRAL_NERVOUS_SYSTEM	SW1088_CENTRAL_NERVOUS_SYSTEM	SW1783_CENTRAL_NERVOUS_SYSTEM	T98G_CENTRAL_NERVOUS_SYSTEM	TM31_CENTRAL_NERVOUS_SYSTEM	U118MG_CENTRAL_NERVOUS_SYSTEM	U178_CENTRAL_NERVOUS_SYSTEM	U251MG_CENTRAL_NERVOUS_SYSTEM	U343_CENTRAL_NERVOUS_SYSTEM	U87MG_CENTRAL_NERVOUS_SYSTEM	YH13_CENTRAL_NERVOUS_SYSTEM	YKG1_CENTRAL_NERVOUS_SYSTEM
K2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K3	2	2	0	0	1	0	2	0	0	1	2	2	2	0	0	0	2	0	2	0	0	0	2	2	0	2	2	0	2	0	2	1	2	2	2	0	1	0	1	0	0	0	0	2	1	0	2	0	2	0	0	2	0	0	0	2
K4	2	1	2	0	2	0	2	0	0	2	1	2	1	0	0	2	1	0	1	0	0	2	2	1	0	1	1	0	1	0	2	3	1	2	1	2	3	2	3	0	0	0	0	1	3	0	1	0	1	2	2	0	0	2	0	1
K5	0	0	2	2	2	1	0	1	1	2	0	0	0	1	1	0	0	1	4	1	1	2	0	0	1	1	4	1	0	1	0	2	0	0	0	0	3	2	3	0	1	1	1	4	3	0	0	0	4	2	2	4	1	2	0	4
K6	1	1	2	0	2	1	1	0	0	2	5	1	1	0	0	1	1	0	4	1	0	2	1	1	0	1	4	0	1	0	1	2	5	1	1	1	3	2	3	1	0	0	0	4	3	1	1	1	5	2	2	0	0	2	1	4
K7	0	0	2	2	2	0	0	1	1	2	4	0	0	1	1	0	0	1	3	0	1	2	0	0	1	0	3	1	0	1	0	2	4	0	0	0	5	2	5	0	1	1	1	3	6	0	0	0	4	2	2	1	1	2	0	3
K8	0	0	2	2	2	0	0	4	1	2	4	0	0	1	1	0	0	1	3	0	1	2	0	0	1	0	3	1	0	1	0	2	6	0	4	0	5	2	5	0	1	1	1	3	7	0	0	0	4	2	2	1	1	2	0	3
K9	0	0	1	2	1	0	0	3	5	1	3	0	0	2	2	0	0	2	4	0	2	1	0	0	7	0	4	2	0	2	0	7	8	0	3	0	6	1	6	0	5	5	5	4	6	0	0	0	3	1	1	2	2	1	0	4
