	N	Location	Scale	Degree of Freedom	Shape
ACRV1	56.0	-1.6920115744398119	0.535908622726849	9.494491620672811	-0.32203827983975414
ACSBG2	56.0	-3.0404713172222815	0.631489956723654	6.0478710310369355	-0.3511110096465557
ACSF2	56.0	2.9014675840056547	1.1257189875455669	4069810.6430751793	-6.263467845638501
ACSF3	56.0	0.6264607653103541	0.49881264659454416	3872371.7712909617	3.2608511196920205
ACSL1	56.0	2.2430308369089325	0.4986933519411587	2.85571028992541	-0.10716849006022473
ACSL3	56.0	3.19065851689685	0.3743388641936517	4.754077735762717	0.133794547976533
ACSL4	56.0	2.8468730907683586	0.6562763415482192	561.7237072859124	2.0988371321537254
ACSL5	56.0	1.1913949117274347	1.8876842673327805	4060015.5901216185	-0.9081926537430339
ACSM3	56.0	-3.087792830936528	1.2867598099610278	1776186.107582977	0.8842712639343636
ACSS1	56.0	1.3192774707734944	2.431220550427943	3678633.434304472	-3.0155868458878357
ACSS2	56.0	1.7833373340770238	0.6409822139564567	356078.73571419215	1.6973165758271362
ACTA2	56.0	-0.4746529450226121	3.0092555797697402	4195775.488654364	1.87488231869709
ACTB	56.0	8.02824894671063	0.5416389456253865	8440954.318526857	-1.8408409891223978
ACTG1	56.0	7.316111740806612	0.4519401238268044	6.979143531755584	-1.7796833422363585
ACTG2	56.0	-4.000294906618988	4.313812111534092	3168764.4081018157	4.816650462527696
ACTL6A	56.0	4.045665496312603	0.4278764346893511	3250648.876076672	-1.2720342997587926
ACTN1	56.0	4.203908919536692	0.6573330822227075	1846914.5169485349	1.307202982248601
ACTN4	56.0	5.005288724660633	0.47896517495722707	5122760.94553528	2.157656809390283
ACTR10	56.0	3.0865773125314595	0.31918850762511497	6738963.636989243	0.32659480195776436
ACTR1A	56.0	3.4259371199143853	0.28025498836170876	2298878.2340739565	0.05231087619055182
ACTR1B	56.0	2.9400148374308657	0.4030087179382009	1589090.6907102447	0.7644390803777327
ACTR2	56.0	4.789060398069029	0.2396729301349625	70056104.66584694	-0.6843877128251945
ACTR3	56.0	3.9809946498243063	0.24768456171651765	3016406.5172477015	0.019665957982123422
ACTR3B	56.0	1.9768438781972315	0.4733016179830209	4.574047052202955	-1.3337519663205795
ACTR3C	56.0	-2.938765424884167	1.1805994039452496	6.626312398818111	2.0023891793476696
ACTR5	56.0	1.7186072160803947	0.36807418541021314	1394753.859642772	0.08367506108141581
ACTR6	56.0	2.2242811471338455	0.2679134213108163	5.086461538406878	-1.3575038537578976
ACTR8	56.0	2.20498213498014	0.2814579562330145	6204877.942441766	-0.3556964972353851
ACVR1	56.0	2.7355648280406664	0.6064761072357087	5500479.772831462	-1.580124893724708
ACVR1B	56.0	1.6710914158264898	0.33401362699147374	5585656.437760256	-0.8236792954040542
ACVR2A	56.0	0.024683489156762637	0.7982815335716451	9.628853142405003	3.129345929608526
ACVR2B	56.0	-0.6809830859502565	0.640968704142536	1836280.3072410878	0.9221209637354544
ACY1	56.0	1.4763027068616021	0.8466377684646057	4286704.491890479	-2.697855809052863
ACYP1	56.0	2.3300125852265365	0.6503257971938059	3269080.8218102003	-1.7180863631241645
ACYP2	56.0	0.4384498344954304	0.6111822339230835	825144.3647798148	-1.174270493107459
ADA	56.0	1.5988685413678356	0.9883135262312588	12.596005384112907	-1.4193925046150173
ADAL	56.0	1.1209458444694085	0.32680132275104823	5323368.224036656	0.4527265243155524
ADAM10	56.0	3.1212726026183426	0.46032162852091874	2909348.655787494	2.507053291632256
ADAM11	56.0	-1.5044816367516094	0.9593200839747227	2485804.576495984	0.95949219504935
ADAM12	56.0	2.4131657328184852	1.2578864591268668	3.2013038460765277	-0.24969211156376703
ADAM15	56.0	3.4116055040534077	0.4246063050564206	3.2816330682400587	-0.9628018949710007
ADAM17	56.0	2.395351516961723	0.49474475994048284	1017919.9169415936	2.287410539135829
ADAM19	56.0	3.652914655274945	1.7165303896421298	1703581.2930122581	-6.671908400414894
ADAM21	56.0	-0.5259030030619687	1.3222534671789083	3149944.3089337274	-1.8534762398473663
ADAM22	56.0	1.2007332551553662	2.315724813855341	5839109.223352244	-9.082508055985985
ADAM32	56.0	-0.8542993354914415	0.7991345278701758	4.881433312947727	-2.278185179662069
ADAM8	56.0	-1.133770171438357	1.119626501395338	5.243295900653167	0.7825756327394857
ADAM9	56.0	4.852988105278865	0.6346830556606758	2952138.0372694917	-2.282151995215216
ADAMTS1	56.0	3.919991858672729	2.240839394460881	2679067.1397243007	-2.4266791353265447
ADAMTS12	56.0	2.7762389064577877	1.7049676676360352	2.13179742901625	-3.2753283879792607
ADAMTS13	56.0	0.6767882120149434	1.7007044969700924	2723412.203647677	-3.604378397324403
ADAMTS15	56.0	2.3488131115121345	2.2454662930981035	7.917123744264146	-1.5614517967956079
ADAMTS16	56.0	1.4362975520567942	1.8185015362041361	7.6423526929775285	-1.7694060767750486
ADAMTS2	56.0	-2.164587134865429	3.0951215696507757	7869603.598223992	0.4157323429307226
ADAMTS3	56.0	1.4788372466957076	2.947457080449704	1798069.2427320722	-7.081389944936377
ADAMTS5	56.0	1.8874981658443697	3.839215067492437	3892868.569485653	-3.661740370698032
ADAMTS6	56.0	0.6873051977814322	1.2060414302665268	4.557577848491393	-0.5029289646165743
ADAMTS7	56.0	1.7434556358520283	1.9355815565789891	6.652767222124805	-2.37616498869825
ADAMTS9	56.0	0.7782586790757748	1.4512131899570502	3.5778778665023414	-1.19701596314929
ADAMTSL1	56.0	3.2034995376355875	3.9001374490325134	700248.5333971268	-11.771749112719608
ADAMTSL4	56.0	-1.2966518335681578	1.080752789361974	4.009963054686132	2.2218275263248826
ADAMTSL5	56.0	1.338044639474019	1.0434229866172104	1.9308165900091443	-2.742445092160501
ADAP2	56.0	-0.7376465591671691	2.058066101737711	6094407.914599691	-2.5766176362149817
ADAR	56.0	3.595517993806615	0.4161055085154096	3824696.7752073407	1.7559675505982064
ADARB1	56.0	1.813463748185103	1.155515339737316	1496594.0022132006	-1.4461512360328093
ADAT1	56.0	1.9004009975360308	0.3492428460539313	10.679179529992552	0.8557338116337985
ADAT2	56.0	0.8232183921889329	0.7626671210382802	52.01578893832446	-3.238685365065173
ADCK1	56.0	0.923905621155586	0.4378305227387528	6216898.3213437125	-0.5202540109643568
ADCK2	56.0	2.669307368463228	0.5026393077156432	2873875.5654986016	-1.1814110410981122
ADCK5	56.0	1.2563781584076041	0.2989379096692015	3.8633569752954813	0.14231209430782893
ADCY1	56.0	-0.6094912643767205	2.4020347345956763	754492.1550505618	-0.20396905366912704
ADCY3	56.0	2.9485418486348394	0.5779027246713417	6.9032682103367895	-2.2147831343055233
ADCY5	56.0	-3.641647210678504	1.831796245643988	3120114.524381619	3.0291763897958397
ADCY6	56.0	2.6484749131466483	0.520071777224838	1356956.6034298781	-2.6396014386583566
ADCY7	56.0	2.0799947730648913	1.5620799319417793	6.422228903346502	-2.484364749472597
ADCY9	56.0	1.6623863176130271	0.31138524061495876	2.434755042159827	-0.09868311433022055
ADD1	56.0	3.874581124830441	0.38222683440294003	4511387.021422859	-2.0634526431036315
ADD2	56.0	-0.28499945546204886	2.4168988128759725	5429344.455452912	-0.12531224223283186
ADD3	56.0	2.5037890092223254	0.3876145579019471	2.8414888427408354	-0.22018782297010298
ADH5	56.0	4.015442592508487	0.32026662365344516	1290.8983277841985	-1.165571124232624
ADHFE1	56.0	-0.4267870625733491	1.3323187528062554	3727904.367438007	-2.4725020366498107
ADI1	56.0	2.7073629290341774	0.5920140009227701	4714084.871029932	-2.1725450491373737
ADIPOR1	56.0	4.130299105466407	0.32997306558467965	2593845.4627789	-1.3833262751105546
ADIPOR2	56.0	3.2006579651559015	0.33716713395156267	2567463.5994372824	-1.2414706904306294
ADIRF	56.0	1.336004734909017	1.0374231209372695	2.8633783722766424	-0.8407434891611298
ADK	56.0	2.357999695049479	0.26235339786619044	2.553800964437509	0.3403845019589621
ADM	56.0	4.224295514416219	1.8160162929163026	7.822814365950979	-3.364435938240735
ADM2	56.0	0.6811151325071604	2.80610854301214	7822863.319783775	-2.8208210233673157
ADNP	56.0	3.035243011310074	0.24772655184327586	69186.3954475554	-0.43457928523864797
ADNP2	56.0	2.0864213448020728	0.3818508028993172	6300477.399199359	-1.3460061432638326
ADO	56.0	2.100338674801297	0.29574706812827667	4.171026836010992	0.06798073136738186
ADORA2B	56.0	3.3368184328788013	0.9872360786878314	3.8117710523181447	-2.1870869617064996
ADPGK	56.0	3.137350925803336	0.32057058588320914	5434307.721527969	0.7427269754575628
ADPRHL1	56.0	-1.135251130494467	0.8755752341997021	4378310.699734433	1.0175975729179647
ADPRHL2	56.0	2.988928225852457	0.2479569865986539	4.987079300692457	0.5030043251116654
ADPRM	56.0	1.6035917210816297	0.34877450177432734	4.58909836299291	-0.6585718122533591
ADRB2	56.0	2.2019389993518006	2.601962116221907	469131.4326720164	-2.638804584604551
ADRM1	56.0	3.9615232805926737	0.4689390643253826	166.6405222594163	2.142277641370727
ADSL	56.0	3.7787869085800185	0.6012935425380672	3427425.479302082	-2.830903253192883
ADSS	56.0	2.908845140333423	0.2545786160794659	11.368599624998073	-0.10011419293433578
ADSSL1	56.0	0.5093681782900273	1.2627963890806422	2912404.287354719	-1.24892042143671
ADTRP	56.0	-2.007808324059295	1.1904908975834323	11.793575085321825	0.6148258441033212
AEBP1	56.0	-1.6702123054101647	2.4577151718150008	2040696.7596350517	0.2554623055374709
AEBP2	56.0	1.8137362771584729	0.30398012851177386	7.1057452824082326	0.6703526211219764
AEN	56.0	1.8198313398867265	0.8604433735274953	4933470.059329309	8.83319321810746
AES	56.0	4.090682359645308	0.4970975226585771	4689378.859471474	3.0066755516964165
AFAP1	56.0	3.3082184766702674	0.847440481219603	10.880784568554176	-2.763792326072907
AFAP1L1	56.0	1.1599239957184415	1.2691926185566003	5.032610052751675	-0.2718962663885245
AFAP1L2	56.0	2.852947926813817	3.408648227674707	356345.33543118986	-9.651229044490009
AFF1	56.0	1.903439970208375	0.4705686431632908	15.089338792798664	-0.5649175591586961
AFF3	56.0	1.7441381846532098	1.9200359633206987	3.431607112450387	-5.474646945070068
AFF4	56.0	2.949459157664233	0.2532095992361765	11.783096436399294	-0.22002509893536779
AFG3L2	56.0	3.285753043757044	0.22990267930909908	4.17791752706696	0.07234684614231046
AFMID	56.0	1.5867982583169544	0.45432568827353315	2915824.127504169	-0.5130784075614359
AFP	56.0	-0.10798651813006771	2.271560113193318	731728.7159299658	-3.8201071367305874
AFTPH	56.0	2.245372236191022	0.3651096269865299	5306740.880634449	-1.0395352307510466
AGA	56.0	2.8925083317528504	0.452350525925326	3.3004806419489414	-0.6268998482749089
AGAP1	56.0	1.250174625884052	0.3383859801710416	5.154756110436701	-0.11003263113046098
AGAP2	56.0	-0.015886114396251073	1.555862400113266	40.242362194551575	-0.7496640487583411
AGAP3	56.0	2.8413701763628643	0.5222032041770404	5180430.80679027	-2.3562354303147055
AGAP4	56.0	1.1270614690536465	0.7384552813151455	2958197.233923916	-1.6988030013593192
AGAP5	56.0	0.1482184020165886	0.4942724481391696	20.87884847797544	1.2742036802456826
AGAP6	56.0	1.3863921409873186	0.531968238009012	1750262.9220380057	0.8841583490673991
AGAP9	56.0	1.1843700381225983	0.824554135468003	3.658682982436276	-2.3561255839413366
AGBL2	56.0	-1.102733517149741	0.8808168459634785	5619981.90776325	-0.6348072877386474
AGBL3	56.0	-1.2264384598525027	0.8107300677098159	2941480.1733353846	-2.8954284133754484
AGBL5	56.0	2.635674736207781	0.4702371184140939	3632129.0765280714	-1.4167454411553675
AGER	56.0	1.0201198443124777	0.7104488320806148	3333785.3993141763	-3.2750390976116104
AGFG1	56.0	1.8193789043722282	0.41156315652625086	4194001.052615964	5.223909103937483
AGFG2	56.0	1.1793205881094297	0.47186349908715286	3208634.3252144963	0.6262765360701998
AGGF1	56.0	2.765088559703418	0.3964783324579929	6117889.601921685	-4.160583726372407
AGK	56.0	2.65859790764281	0.5486171962410977	930432.8349457169	-2.4666433759668673
AGL	56.0	1.0973375675502457	0.5218003923636451	45.635688973327184	1.5430202050762931
AGMAT	56.0	-1.3422056058280454	1.4696691542318163	1116330.965024306	-0.011168026814691381
AGO1	56.0	1.3746450118372078	0.37869787658353066	47.52676453074432	1.5192460197702138
AGO2	56.0	1.8055831384928294	0.430584321196971	4.372690323676387	-0.5365271880473182
AGO3	56.0	0.3441353376271937	0.33118267651258587	11.783254660262697	0.6149086864354785
AGO4	56.0	0.8402191418234523	0.4327784004072054	2633837.478549712	1.638760748019032
AGPAT1	56.0	2.8537694034732746	0.5766889796660731	1166093.720420176	-1.790229245789746
AGPAT2	56.0	3.385033213734439	0.3531569509672875	3.1984581658308455	-1.304793930689554
AGPAT3	56.0	3.1645117336683057	0.6356427081194628	1742796.6180017907	-4.403763724647224
AGPAT4	56.0	1.6715113463515467	0.9752822697314398	5.267041630671212	-1.9807944980679555
AGPAT5	56.0	2.3445273275457645	0.4709330970653512	6.251624009950395	1.3943704677440547
AGPS	56.0	2.4107333872125154	0.3760944205885972	5.21820273418837	1.0473114034900288
AGR2	56.0	-2.7931230170800507	1.5453788605984662	12.922030919336315	7.03918106907526
AGRN	56.0	4.288833516574803	0.7917780504009271	3566849.0357447006	-0.9900375305167095
AGTPBP1	56.0	1.913077765153315	0.5843803729491788	6.453951934920357	-1.7145468739663143
AGTRAP	56.0	1.9893749145777035	0.6069755560793366	5479030.812745698	1.1797767095222
AHCTF1	56.0	2.4586686440065844	0.32999587383260665	7.0143205064839655	-0.6031543783916444
AHCY	56.0	4.355373194203929	0.4505648036867479	408395.3895789717	-1.1557462577526825
AHCYL1	56.0	3.41439445667851	0.4715706523568819	16.746896507642788	2.158640610352861
AHCYL2	56.0	1.2382975784794665	0.5592983866537309	7.720358027183162	0.9303759341277458
AHDC1	56.0	1.952148798549672	0.6296750050284287	2404432.7120514456	-0.8092996855444461
AHI1	56.0	1.0333715209146561	0.33859174991027474	4.443878476630863	0.48197256808192557
AHNAK	56.0	4.69318880378872	0.5763033617897946	42.27305154196661	-0.6599453572797946
AHNAK2	56.0	2.9007261849998733	1.3900769773668304	1716302.1430729087	-1.4195577862055
AHR	56.0	3.696808905229012	2.1329242766980054	3.7903715417655155	-8.507757799315911
AHRR	56.0	1.6918228372295527	1.4460237794160862	5596647.089246862	-0.2385437938554557
AHSA1	56.0	3.542046109231684	0.5083667481978404	3493266.0752584003	1.7551335747396317
AIDA	56.0	3.1559986690124426	0.2624766436510535	5.671864162915184	-0.9887883084162093
AIF1L	56.0	-2.0561323587323255	2.7486761627083443	5285935.336182787	2.25240633945689
AIFM1	56.0	3.0469118468161844	0.39937302807680736	18.819861353007063	0.07393730574810148
AIFM2	56.0	2.737978616100565	1.3703559725085248	10.261352986584072	-3.8806929467916875
AIG1	56.0	2.2212250345554203	0.7992165110126103	3246277.026118258	-1.1279251457881196
AIMP1	56.0	3.118937551290207	0.2012231532422113	6.449567710123794	0.18873468244848407
AIMP2	56.0	3.34130224671243	0.31293724194240125	48.12846602846385	-0.38779573524427335
AIP	56.0	3.2809258491610027	0.43199197632891473	3628248.8651763983	1.1251932665070186
AJUBA	56.0	3.4464974451263997	1.1280129167083008	3408979.9836967103	-2.2139790233077283
AK1	56.0	2.2335830043093035	0.718179430318673	1571490.2750165574	2.411188619009863
AK2	56.0	3.428826276781355	0.33134263868350083	8.002043548103153	-0.3215183438904143
AK3	56.0	3.2438811124442104	0.5251147261080892	1011100.0197089605	-0.4168313080867495
